base,flags,caption,dates,show_detail,tour,images
2025-06-27_21-06-41_UTC,2 shows kept on 2026-05-07; 2 shows kept on 2026-05-09; no artist credited,"5/7-9/26 / Viva El Gonzo II / San Jose Del Cabo, MX","2026-05-07,2026-05-08,2026-05-09","2026-05-07 Hotel El Ganzo (San José del Cabo, MEX) | 2026-05-07 Hotel El Ganzo (San José del Cabo, MEX) | 2026-05-08 Hotel El Ganzo (San José del Cabo, MEX) | 2026-05-09 Hotel El Ganzo (San José del Cabo, MEX) | 2026-05-09 Hotel El Ganzo (San José del Cabo, MEX)",,2025-06-27_21-06-41_UTC.jpg
2025-09-27_00-01-53_UTC,no date or tour found,Fall ‘25 VIP Poster / Art by @drawjanedraws,,,,2025-09-27_00-01-53_UTC.jpg
2025-12-10_00-17-17_UTC,no artist credited,"In celebration of Goosemas XII, I’ll be collecting all previous Goosemas posters in a series of posts for you to enjoy! /  / GOOSEMAS I /  / 12/20/14 at the Factory Underground Studio in Norwalk, CT /  / Goosemas I had no known poster. But supposedly Coach provided pizza and beer kegs, Goose played three sets, and the Goosemas at the Factory tradition was born!",2014-12-20,"2014-12-20 Factory Underground Studio (Norwalk, CT)",,"2025-12-10_00-17-17_UTC_1.jpg,2025-12-10_00-17-17_UTC_2.jpg"
2025-12-10_00-24-01_UTC,no artist credited,"GOOSEMAS II  /  / 12/19/15 at the Factory Underground Studio in Norwalk, CT /  / Oldest Goose poster I can find. Incomplete setlist, but supposedly “Gringo” and “Carol of the Bells” were played.",2015-12-19,"2015-12-19 Factory Underground Studio (Norwalk, CT)",,2025-12-10_00-24-01_UTC.jpg
2025-12-10_00-41-29_UTC,no artist credited,"GOOSEMAS III  /  / 12/23/16 at the Factory Underground Studio in Norwalk, CT /  / No known setlist for this Goosemas!",2016-12-23,"2016-12-23 Factory Underground Studio (Norwalk, CT)",,"2025-12-10_00-41-29_UTC_1.jpg,2025-12-10_00-41-29_UTC_2.jpg"
2025-12-10_00-45-23_UTC,no artist credited,"GOOSEMAS IV /  / 12/23/17 at the Factory Underground Studio in Norwalk, CT /  / Handini’s (Pete Anspach’s) first show as an official member of Goose.",2017-12-23,"2017-12-23 Factory Underground Studio (Norwalk, CT)",,2025-12-10_00-45-23_UTC.jpg
2025-12-10_00-53-22_UTC,no artist credited,"GOOSEMAS V /  / 12/22/18 at Cantiki SoNo in Norwalk, CT /  / FTP for “White Lights,” a personal favorite. Must’ve brought down the house because Cantiki SoNo has since closed.",2018-12-22,"2018-12-22 Cantiki SoNo (Norwalk, CT)",,"2025-12-10_00-53-22_UTC_1.jpg,2025-12-10_00-53-22_UTC_2.jpg,2025-12-10_00-53-22_UTC_3.jpg"
2025-12-10_01-23-02_UTC,no artist credited,"GOOSEMAS VI /  / 12/21/19 at the Wall Street Theater in Norwalk, CT /  / Theme show! First set was Ghost of Goosemas Past and the second was Ghost of Goosemas Future. Features a canned food drive and the FTP of “Honeybee.”",2019-12-21,"2019-12-21 Wall Street Theater (Norwalk, CT)",,"2025-12-10_01-23-02_UTC_1.jpg,2025-12-10_01-23-02_UTC_2.jpg"
2025-12-10_01-30-01_UTC,no artist credited,"GOOSEMAS VII /  / 12/11/20 at the Rockefeller Center Loft and Garden (rooftop show) in New York, NY /  / First Goosemas outside Norwalk and first to be live streamed. COVID didn’t slow Goose down and Goosemas VII was the icing on the cake. My personal first Goosemas. Insane version of “You and Whose Army.”",2020-12-11,"2020-12-11 620 Loft & Garden (New York, NY)",,"2025-12-10_01-30-01_UTC_1.jpg,2025-12-10_01-30-01_UTC_2.jpg"
2025-12-10_01-38-20_UTC,no artist credited,"GOOSEMAS VIII /  / 2/26/22 at the Mohegan Sun Arena in Uncasville, CT.  /  / Originally scheduled for 12/18/21 at the Mohegan Sun Arena in Uncasville, CT. This date was canceled due to a COVID case in the touring crew. /  / Goose’s biggest headlining show to date! Spud (Ben Atkind) proposed to his girlfriend during the show. FTP for “Dripfield” and “Hungersite.”",2022-02-26,"2022-02-26 Mohegan Sun Arena (Uncasville, CT)",,"2025-12-10_01-38-20_UTC_1.jpg,2025-12-10_01-38-20_UTC_2.jpg"
2025-12-10_01-48-23_UTC,no artist credited,"GOOSEMAS IX /  / 12/16-17/22 at the 1STBANK Center in Broomfield, CO /  / First two-day Goosemas celebration. For the second set on both nights, ping pong balls with fan requests determined the set lists.","2022-12-16,2022-12-17","2022-12-16 1stBank Center (Broomfield, CO) | 2022-12-17 1stBank Center (Broomfield, CO)",,"2025-12-10_01-48-23_UTC_1.jpg,2025-12-10_01-48-23_UTC_2.jpg,2025-12-10_01-48-23_UTC_3.jpg"
2025-12-10_02-10-21_UTC,no artist credited,"GOOSEMAS XI /  / 12/13-14/24 at the North Charleston Coliseum and Performing Arts Center in Charleston, SC /  / Bingo night! Both nights’ setlists were randomly determined by drawing bingo balls. Premier of the famous D&BFlamingos song where Snakes (Rick Mitarotonda) and Handini crowdsurfed on inflatable flamingos 🦩.","2024-12-13,2024-12-14","2024-12-13 North Charleston Coliseum & Performing Arts Center (North Charleston, SC) | 2024-12-14 North Charleston Coliseum & Performing Arts Center (North Charleston, SC)",,"2025-12-10_02-10-21_UTC_1.jpg,2025-12-10_02-10-21_UTC_2.jpg,2025-12-10_02-10-21_UTC_3.jpg"
2025-12-12_22-30-45_UTC,no date or tour found,"GOOSEMAS XII /  / Amica Mutual Pavilion in Providence, RI / Art by @blue_sun_printing",,,,"2025-12-12_22-30-45_UTC_1.jpg,2025-12-12_22-30-45_UTC_2.jpg"
2026-03-30_22-53-48_UTC,2 shows kept on 2026-05-07; 2 shows kept on 2026-05-09; no artist credited,"5/7-9/26 / Viva El Gonzo Lineup Poster / San Jose Del Cabo, Mexico","2026-05-07,2026-05-08,2026-05-09","2026-05-07 Hotel El Ganzo (San José del Cabo, MEX) | 2026-05-07 Hotel El Ganzo (San José del Cabo, MEX) | 2026-05-08 Hotel El Ganzo (San José del Cabo, MEX) | 2026-05-09 Hotel El Ganzo (San José del Cabo, MEX) | 2026-05-09 Hotel El Ganzo (San José del Cabo, MEX)",,2026-03-30_22-53-48_UTC.jpg
2026-05-09_02-16-28_UTC,2 shows kept on 2026-05-07,"5/7/26 / Viva El Gonzo Poster / San Jose Del Cabo, Mexico  / Art by @zocastudio",2026-05-07,"2026-05-07 Hotel El Ganzo (San José del Cabo, MEX) | 2026-05-07 Hotel El Ganzo (San José del Cabo, MEX)",,2026-05-09_02-16-28_UTC.jpg
2026-05-10_21-38-28_UTC,2 shows kept on 2026-05-09,5/9/26 / Viva El Gonzo Show / San Jose Del Cabo - Mexico / Art by @summer.bluess,2026-05-09,"2026-05-09 Hotel El Ganzo (San José del Cabo, MEX) | 2026-05-09 Hotel El Ganzo (San José del Cabo, MEX)",,2026-05-10_21-38-28_UTC.jpg
2026-05-10_21-40-30_UTC,2 shows kept on 2026-05-07; 2 shows kept on 2026-05-09,5/7-9/26 / Viva El Gonzo / San Jose Del Cabo - Mexico  / Art by @jimenaduval,"2026-05-07,2026-05-08,2026-05-09","2026-05-07 Hotel El Ganzo (San José del Cabo, MEX) | 2026-05-07 Hotel El Ganzo (San José del Cabo, MEX) | 2026-05-08 Hotel El Ganzo (San José del Cabo, MEX) | 2026-05-09 Hotel El Ganzo (San José del Cabo, MEX) | 2026-05-09 Hotel El Ganzo (San José del Cabo, MEX)",,2026-05-10_21-40-30_UTC.jpg
